rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
7,DEMIRCI Onur,TUR,"Aug 07, 2003",94.60,A,126,-131,-133,126,96kgMen,Snatch,445,False
1,MOHAMED Mahmoud Silem,EGY,"Jan 01, 1997",94.85,A,190,200,207,207,96kgMen,CleanJerk,445,False
2,ABDALLA Ragab Abdelhay Saad A.,EGY,"Mar 04, 1991",95.80,A,193,-201,202,202,96kgMen,CleanJerk,445,False
3,ARAT Ibrahim,TUR,"Dec 02, 1988",95.50,A,-192,192,-202,192,96kgMen,CleanJerk,445,False
4,NABIYEV Nailkhan,AZE,"Nov 24, 1994",94.40,A,175,182,187,187,96kgMen,CleanJerk,445,False
5,BOONLANG Weeraphat,THA,"Mar 23, 1997",93.60,A,-180,180,-190,180,96kgMen,CleanJerk,445,False
6,ISMAYILOV Kamran,AZE,"Apr 09, 1993",95.40,A,168,175,180,180,96kgMen,CleanJerk,445,False
7,DEMIRCI Onur,TUR,"Aug 07, 2003",94.60,A,152,158,165,165,96kgMen,CleanJerk,445,False
1,MOHAMED Mahmoud Silem,EGY,"Jan 01, 1997",94.85,A,159,207,366,,96kgMen,Total,445,False
2,ABDALLA Ragab Abdelhay Saad A.,EGY,"Mar 04, 1991",95.80,A,163,202,365,,96kgMen,Total,445,False
3,ARAT Ibrahim,TUR,"Dec 02, 1988",95.50,A,158,192,350,,96kgMen,Total,445,False
4,NABIYEV Nailkhan,AZE,"Nov 24, 1994",94.40,A,146,187,333,,96kgMen,Total,445,False
5,BOONLANG Weeraphat,THA,"Mar 23, 1997",93.60,A,151,180,331,,96kgMen,Total,445,False
6,ISMAYILOV Kamran,AZE,"Apr 09, 1993",95.40,A,145,180,325,,96kgMen,Total,445,False
7,DEMIRCI Onur,TUR,"Aug 07, 2003",94.60,A,126,165,291,,96kgMen,Total,445,False
1,ABDELAZIZ Mohamed Abdelrahman M,EGY,"Apr 07, 1998",101.65,A,145,152,156,156,102kgMen,Snatch,445,False
2,NAZAROV Alish,AZE,"Nov 26, 1999",97.40,A,137,142,-145,142,102kgMen,Snatch,445,False
1,ABDELAZIZ Mohamed Abdelrahman M,EGY,"Apr 07, 1998",101.65,A,181,187,189,189,102kgMen,CleanJerk,445,False
2,NAZAROV Alish,AZE,"Nov 26, 1999",97.40,A,160,167,-178,167,102kgMen,CleanJerk,445,False
1,ABDELAZIZ Mohamed Abdelrahman M,EGY,"Apr 07, 1998",101.65,A,156,189,345,,102kgMen,Total,445,False
2,NAZAROV Alish,AZE,"Nov 26, 1999",97.40,A,142,167,309,,102kgMen,Total,445,False
1,MOHAMED Gaber Ahmed Farhan,EGY,"Sep 01, 1985",107.05,A,165,170,-175,170,109kgMen,Snatch,445,False
2,BACHA Aymen,TUN,"Oct 26, 1999",107.25,A,160,166,-171,166,109kgMen,Snatch,445,False
3,JUGHELI Ahed,SYR,"Oct 10, 1982",104.50,A,155,-161,-161,155,109kgMen,Snatch,445,False
4,NGADJA NYABEYEU Junior Periclex,CMR,"Jun 16, 1993",102.35,A,146,151,-155,151,109kgMen,Snatch,445,False
1,MOHAMED Gaber Ahmed Farhan,EGY,"Sep 01, 1985",107.05,A,190,196,207,207,109kgMen,CleanJerk,445,False
2,NGADJA NYABEYEU Junior Periclex,CMR,"Jun 16, 1993",102.35,A,187,-195,196,196,109kgMen,CleanJerk,445,False
3,BACHA Aymen,TUN,"Oct 26, 1999",107.25,A,185,191,195,195,109kgMen,CleanJerk,445,False
