rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 5,TAHIR Muhammad,PAK,"Born: Dec 09, 1992",B.weight: 84.55,Group: A,1: 155,2: -160,3: 160,Total: 160,85kgMen,CleanJerk,347
Rank: 6,ALOTHMAN Sami Ahmed M,KSA,"Born: Jul 17, 1997",B.weight: 77.90,Group: A,1: 140,2: 150,3: -156,Total: 150,85kgMen,CleanJerk,347
Rank: 7,SHARIPOV Azamat,UZB,"Born: Jul 02, 1996",B.weight: 83.00,Group: A,1: 130,2: 135,3: 140,Total: 140,85kgMen,CleanJerk,347
Rank: 8,MICALLEF Kyle Sean,MLT,"Born: Jan 08, 1987",B.weight: 84.85,Group: A,1: 134,2: -139,3: 139,Total: 139,85kgMen,CleanJerk,347
Rank: 9,ALSHERAWI Yusuf Khaled Yusuf A. M.,BRN,"Born: Apr 13, 1996",B.weight: 82.75,Group: A,1: 125,2: 132,3: -143,Total: 132,85kgMen,CleanJerk,347
Rank: 10,RAHMAN Md Azuzur,BAN,"Born: Jan 01, 1979",B.weight: 82.70,Group: A,1: 115,2: -125,3: 125,Total: 125,85kgMen,CleanJerk,347
Rank: 11,ALASIF Hassan Mohammed M,KSA,"Born: Oct 18, 2000",B.weight: 82.80,Group: A,1: 115,2: -120,3: 120,Total: 120,85kgMen,CleanJerk,347
Rank: 12,AFZALY Khaled,AFG,"Born: Aug 06, 1998",B.weight: 82.45,Group: A,1: 110,2: -115,3: -115,Total: 110,85kgMen,CleanJerk,347
Rank: 13,KHALID Alhamadi,QAT,"Born: Jan 01, 1989",B.weight: 82.65,Group: A,1: 95,2: -105,3: -110,Total: 95,85kgMen,CleanJerk,347
Rank: 1,PIZZOLATO Antonino,ITA,"Born: Aug 20, 1996",B.weight: 84.95,Group: A,Snatch: 160,CI&Jerk: 195,Total: 355,,85kgMen,Total,347
Rank: 2,AL-HASHIMI Raad Ameen Yasir,IRQ,"Born: Nov 01, 1990",B.weight: 84.95,Group: A,Snatch: 141,CI&Jerk: 172,Total: 313,,85kgMen,Total,347
Rank: 3,TOVMASJAN Karen,NED,"Born: Aug 05, 1990",B.weight: 84.55,Group: A,Snatch: 141,CI&Jerk: 171,Total: 312,,85kgMen,Total,347
Rank: 4,LEE Minwoong,KOR,"Born: Sep 16, 1992",B.weight: 80.20,Group: A,Snatch: 130,CI&Jerk: 170,Total: 300,,85kgMen,Total,347
Rank: 5,TAHIR Muhammad,PAK,"Born: Dec 09, 1992",B.weight: 84.55,Group: A,Snatch: 136,CI&Jerk: 160,Total: 296,,85kgMen,Total,347
Rank: 6,ALOTHMAN Sami Ahmed M,KSA,"Born: Jul 17, 1997",B.weight: 77.90,Group: A,Snatch: 124,CI&Jerk: 150,Total: 274,,85kgMen,Total,347
Rank: 7,SHARIPOV Azamat,UZB,"Born: Jul 02, 1996",B.weight: 83.00,Group: A,Snatch: 117,CI&Jerk: 140,Total: 257,,85kgMen,Total,347
Rank: 8,MICALLEF Kyle Sean,MLT,"Born: Jan 08, 1987",B.weight: 84.85,Group: A,Snatch: 114,CI&Jerk: 139,Total: 253,,85kgMen,Total,347
Rank: 9,ALSHERAWI Yusuf Khaled Yusuf A. M.,BRN,"Born: Apr 13, 1996",B.weight: 82.75,Group: A,Snatch: 107,CI&Jerk: 132,Total: 239,,85kgMen,Total,347
Rank: 10,RAHMAN Md Azuzur,BAN,"Born: Jan 01, 1979",B.weight: 82.70,Group: A,Snatch: 105,CI&Jerk: 125,Total: 230,,85kgMen,Total,347
Rank: 11,ALASIF Hassan Mohammed M,KSA,"Born: Oct 18, 2000",B.weight: 82.80,Group: A,Snatch: 95,CI&Jerk: 120,Total: 215,,85kgMen,Total,347
Rank: 12,AFZALY Khaled,AFG,"Born: Aug 06, 1998",B.weight: 82.45,Group: A,Snatch: 90,CI&Jerk: 110,Total: 200,,85kgMen,Total,347
Rank: 13,KHALID Alhamadi,QAT,"Born: Jan 01, 1989",B.weight: 82.65,Group: A,Snatch: 81,CI&Jerk: 95,Total: 176,,85kgMen,Total,347
Rank: 1,HAN Junghoon,KOR,"Born: Aug 28, 1990",B.weight: 93.60,Group: A,1: -144,2: -144,3: 144,Total: 144,94kgMen,Snatch,347
Rank: 2,MAZAMEL Khamis Eissa Koko,SUD,"Born: Dec 02, 1986",B.weight: 94.00,Group: A,1: 127,2: 135,3: 141,Total: 141,94kgMen,Snatch,347
Rank: 3,GUIRI Salah Eddine,ALG,"Born: Aug 15, 1998",B.weight: 85.50,Group: A,1: 115,2: 120,3: 125,Total: 125,94kgMen,Snatch,347
Rank: 4,ALKHAZAL Ali Ahmed A,KSA,"Born: Aug 21, 1998",B.weight: 85.60,Group: A,1: 105,2: 115,3: -122,Total: 115,94kgMen,Snatch,347
Rank: 5,FANG Minxu,CHN,"Born: Feb 21, 2000",B.weight: 90.80,Group: A,1: 85,2: 90,3: 93,Total: 93,94kgMen,Snatch,347
Rank: 6,RAHMAN Md Shajedar,BAN,"Born: Jan 01, 1978",B.weight: 85.30,Group: A,1: 80,2: 85,3: 90,Total: 90,94kgMen,Snatch,347
Rank: 7,ABDULLAH Al Muhannadi,QAT,"Born: Jan 01, 1987",B.weight: 87.75,Group: A,1: -75,2: -75,3: 81,Total: 81,94kgMen,Snatch,347
Rank: ---,SHRESTHA Dinesh,NEP,"Born: Aug 31, 1984",B.weight: 93.35,Group: A,1: -113,2: -116,3: -116,Total: ---,94kgMen,Snatch,347
Rank: 1,HAN Junghoon,KOR,"Born: Aug 28, 1990",B.weight: 93.60,Group: A,1: -170,2: -170,3: 170,Total: 170,94kgMen,CleanJerk,347
Rank: 2,MAZAMEL Khamis Eissa Koko,SUD,"Born: Dec 02, 1986",B.weight: 94.00,Group: A,1: 160,2: -175,3: ---,Total: 160,94kgMen,CleanJerk,347
Rank: 3,GUIRI Salah Eddine,ALG,"Born: Aug 15, 1998",B.weight: 85.50,Group: A,1: 140,2: 150,3: 155,Total: 155,94kgMen,CleanJerk,347
Rank: 4,ALKHAZAL Ali Ahmed A,KSA,"Born: Aug 21, 1998",B.weight: 85.60,Group: A,1: 133,2: -145,3: 145,Total: 145,94kgMen,CleanJerk,347
Rank: 5,RAHMAN Md Shajedar,BAN,"Born: Jan 01, 1978",B.weight: 85.30,Group: A,1: 105,2: 110,3: 115,Total: 115,94kgMen,CleanJerk,347
Rank: 6,FANG Minxu,CHN,"Born: Feb 21, 2000",B.weight: 90.80,Group: A,1: -110,2: 110,3: -115,Total: 110,94kgMen,CleanJerk,347
Rank: 7,ABDULLAH Al Muhannadi,QAT,"Born: Jan 01, 1987",B.weight: 87.75,Group: A,1: 90,2: -100,3: 100,Total: 100,94kgMen,CleanJerk,347
Rank: ---,SHRESTHA Dinesh,NEP,"Born: Aug 31, 1984",B.weight: 93.35,Group: A,1: -135,2: ---,3: ---,Total: ---,94kgMen,CleanJerk,347
Rank: 1,HAN Junghoon,KOR,"Born: Aug 28, 1990",B.weight: 93.60,Group: A,Snatch: 144,CI&Jerk: 170,Total: 314,,94kgMen,Total,347
Rank: 2,MAZAMEL Khamis Eissa Koko,SUD,"Born: Dec 02, 1986",B.weight: 94.00,Group: A,Snatch: 141,CI&Jerk: 160,Total: 301,,94kgMen,Total,347
Rank: 3,GUIRI Salah Eddine,ALG,"Born: Aug 15, 1998",B.weight: 85.50,Group: A,Snatch: 125,CI&Jerk: 155,Total: 280,,94kgMen,Total,347
Rank: 4,ALKHAZAL Ali Ahmed A,KSA,"Born: Aug 21, 1998",B.weight: 85.60,Group: A,Snatch: 115,CI&Jerk: 145,Total: 260,,94kgMen,Total,347
Rank: 5,RAHMAN Md Shajedar,BAN,"Born: Jan 01, 1978",B.weight: 85.30,Group: A,Snatch: 90,CI&Jerk: 115,Total: 205,,94kgMen,Total,347
Rank: 6,FANG Minxu,CHN,"Born: Feb 21, 2000",B.weight: 90.80,Group: A,Snatch: 93,CI&Jerk: 110,Total: 203,,94kgMen,Total,347
Rank: 7,ABDULLAH Al Muhannadi,QAT,"Born: Jan 01, 1987",B.weight: 87.75,Group: A,Snatch: 81,CI&Jerk: 100,Total: 181,,94kgMen,Total,347
Rank: ---,SHRESTHA Dinesh,NEP,"Born: Aug 31, 1984",B.weight: 93.35,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,94kgMen,Total,347
Rank: 1,DIAZ Hidilyn,PHI,"Born: Feb 20, 1991",B.weight: 58.10,Group: A,1: 85,2: 88,3: 90,Total: 90,63kgWomen,Snatch,347
Rank: 2,KOHA Rebeka,LAT,"Born: May 19, 1998",B.weight: 58.10,Group: A,1: 82,2: 85,3: 87,Total: 87,63kgWomen,Snatch,347
Rank: 3,PARK Minkyung,KOR,"Born: Dec 16, 1996",B.weight: 62.85,Group: A,1: 80,2: 83,3: 86,Total: 86,63kgWomen,Snatch,347
Rank: 4,WANG Xiyuan,CHN,"Born: Jul 20, 2000",B.weight: 60.70,Group: A,1: 60,2: 63,3: 65,Total: 65,63kgWomen,Snatch,347
Rank: 5,AHLAM Al Muhallal,QAT,"Born: Jan 01, 1993",B.weight: 58.10,Group: A,1: 25,2: -30,3: 30,Total: 30,63kgWomen,Snatch,347
Rank: 1,DIAZ Hidilyn,PHI,"Born: Feb 20, 1991",B.weight: 58.10,Group: A,1: 105,2: 110,3: 115,Total: 115,63kgWomen,CleanJerk,347
Rank: 2,PARK Minkyung,KOR,"Born: Dec 16, 1996",B.weight: 62.85,Group: A,1: 100,2: 105,3: 107,Total: 107,63kgWomen,CleanJerk,347
Rank: 3,KOHA Rebeka,LAT,"Born: May 19, 1998",B.weight: 58.10,Group: A,1: 98,2: 101,3: 105,Total: 105,63kgWomen,CleanJerk,347
Rank: 4,WANG Xiyuan,CHN,"Born: Jul 20, 2000",B.weight: 60.70,Group: A,1: -75,2: 75,3: 78,Total: 78,63kgWomen,CleanJerk,347
Rank: 5,AHLAM Al Muhallal,QAT,"Born: Jan 01, 1993",B.weight: 58.10,Group: A,1: 35,2: -40,3: ---,Total: 35,63kgWomen,CleanJerk,347
Rank: 1,DIAZ Hidilyn,PHI,"Born: Feb 20, 1991",B.weight: 58.10,Group: A,Snatch: 90,CI&Jerk: 115,Total: 205,,63kgWomen,Total,347
Rank: 2,PARK Minkyung,KOR,"Born: Dec 16, 1996",B.weight: 62.85,Group: A,Snatch: 86,CI&Jerk: 107,Total: 193,,63kgWomen,Total,347
Rank: 3,KOHA Rebeka,LAT,"Born: May 19, 1998",B.weight: 58.10,Group: A,Snatch: 87,CI&Jerk: 105,Total: 192,,63kgWomen,Total,347
Rank: 4,WANG Xiyuan,CHN,"Born: Jul 20, 2000",B.weight: 60.70,Group: A,Snatch: 65,CI&Jerk: 78,Total: 143,,63kgWomen,Total,347
Rank: 5,AHLAM Al Muhallal,QAT,"Born: Jan 01, 1993",B.weight: 58.10,Group: A,Snatch: 30,CI&Jerk: 35,Total: 65,,63kgWomen,Total,347
Rank: 1,NOGAY Nadezhda,KAZ,"Born: May 20, 1996",B.weight: 97.25,Group: A,1: 115,2: 120,3: 125,Total: 125,+75kgWomen,Snatch,347
Rank: 2,HARIDY Shaimaa Ahmed Khalaf,EGY,"Born: Jan 01, 1991",B.weight: 120.06,Group: A,1: 113,2: 117,3: -120,Total: 117,+75kgWomen,Snatch,347
Rank: 3,MUNKHJANTSAN Ankhtsetseg,MGL,"Born: Dec 25, 1997",B.weight: 75.10,Group: A,1: 108,2: 112,3: -114,Total: 112,+75kgWomen,Snatch,347
Rank: 4,KHENJANTUEK Praeonapa,THA,"Born: Jul 30, 1992",B.weight: 155.05,Group: A,1: 110,2: -115,3: -115,Total: 110,+75kgWomen,Snatch,347
Rank: 5,GAO Wenping,CHN,"Born: May 06, 1999",B.weight: 119.25,Group: A,1: 90,2: 95,3: 100,Total: 100,+75kgWomen,Snatch,347
Rank: 6,KAYA Rabia,TUR,"Born: Dec 05, 1994",B.weight: 75.10,Group: A,1: 81,2: -85,3: 86,Total: 86,+75kgWomen,Snatch,347
Rank: 7,OUASS Samira,MAR,"Born: Apr 22, 1992",B.weight: 75.25,Group: A,1: 70,2: 75,3: 80,Total: 80,+75kgWomen,Snatch,347
Rank: 8,ALI Rola Khaled Abdeljmil,JOR,"Born: Jul 14, 1993",B.weight: 116.35,Group: A,1: 80,2: -85,3: -86,Total: 80,+75kgWomen,Snatch,347
Rank: 9,NISHA Juhora Khaton,BAN,"Born: Feb 10, 1990",B.weight: 78.95,Group: A,1: 65,2: 68,3: -71,Total: 68,+75kgWomen,Snatch,347
Rank: 10,ARAFAT Akbar Adam,SUD,"Born: Jan 01, 1994",B.weight: 75.80,Group: A,1: 35,2: 40,3: -50,Total: 40,+75kgWomen,Snatch,347
Rank: ---,DHIEB Yosra,TUN,"Born: Aug 31, 1995",B.weight: 115.45,Group: A,1: -105,2: -105,3: -105,Total: ---,+75kgWomen,Snatch,347
Rank: DSQ,ANANIADOU Eftychia,GRE,"Born: Jul 10, 1987",B.weight: 91.25,Group: A,1: 110,2: -114,3: 114,Total: ---,+75kgWomen,Snatch,347
Rank: 1,HARIDY Shaimaa Ahmed Khalaf,EGY,"Born: Jan 01, 1991",B.weight: 120.06,Group: A,1: 145,2: 150,3: 155,Total: 155,+75kgWomen,CleanJerk,347
Rank: 2,KHENJANTUEK Praeonapa,THA,"Born: Jul 30, 1992",B.weight: 155.05,Group: A,1: 145,2: 153,3: -163,Total: 153,+75kgWomen,CleanJerk,347
Rank: 3,NOGAY Nadezhda,KAZ,"Born: May 20, 1996",B.weight: 97.25,Group: A,1: 140,2: 146,3: 152,Total: 152,+75kgWomen,CleanJerk,347
Rank: 4,GAO Wenping,CHN,"Born: May 06, 1999",B.weight: 119.25,Group: A,1: -110,2: 110,3: 115,Total: 115,+75kgWomen,CleanJerk,347
Rank: 5,KAYA Rabia,TUR,"Born: Dec 05, 1994",B.weight: 75.10,Group: A,1: 105,2: 110,3: -113,Total: 110,+75kgWomen,CleanJerk,347
Rank: 6,OUASS Samira,MAR,"Born: Apr 22, 1992",B.weight: 75.25,Group: A,1: -92,2: 92,3: 100,Total: 100,+75kgWomen,CleanJerk,347
Rank: 7,ALI Rola Khaled Abdeljmil,JOR,"Born: Jul 14, 1993",B.weight: 116.35,Group: A,1: -100,2: 100,3: -106,Total: 100,+75kgWomen,CleanJerk,347
