rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 11,TSAI Ming-Chun,TPE,"Born: Oct 01, 1993",B.weight: 55.80,Group: B,Snatch: 93,CI&Jerk: 120,Total: 213,,56kgMen,Total,239
Rank: 12,LAHUANAMPA CASTILLO Flavio S.,PER,"Born: Sep 16, 1996",B.weight: 55.83,Group: B,Snatch: 88,CI&Jerk: 116,Total: 204,,56kgMen,Total,239
Rank: 13,POVEDA Brayan,BOL,"Born: Oct 27, 1993",B.weight: 55.69,Group: B,Snatch: 72,CI&Jerk: 92,Total: 164,,56kgMen,Total,239
Rank: ---,BARNES Darren Lamar,USA,"Born: Jan 20, 1994",B.weight: 55.32,Group: A,Snatch: ---,CI&Jerk: 133,Total: ---,,56kgMen,Total,239
Rank: ---,ZULHELMI Bin Md Pisol,MAS,"Born: Aug 22, 1993",B.weight: 56.00,Group: A,Snatch: 100,CI&Jerk: ---,Total: ---,,56kgMen,Total,239
Rank: ---,GUO Ding-Nan,TPE,"Born: Jul 12, 1994",B.weight: 55.90,Group: B,Snatch: ---,CI&Jerk: 110,Total: ---,,56kgMen,Total,239
Rank: 1,CHEN Meilong,CHN,"Born: Apr 29, 1993",B.weight: 61.67,Group: A,1: 125,2: 131,3: 135,Total: 135,62kgMen,Snatch,239
Rank: 2,MOSQUERA LOZANO Luis Javier,COL,"Born: Mar 27, 1995",B.weight: 61.31,Group: A,1: 125,2: 130,3: -133,Total: 130,62kgMen,Snatch,239
Rank: 3,PALOMEQUE VALOYES Lebinson,COL,"Born: Aug 24, 1993",B.weight: 61.66,Group: A,1: 115,2: 120,3: 122,Total: 122,62kgMen,Snatch,239
Rank: 4,ABDULGASHUMOV Asali,RUS,"Born: May 05, 1994",B.weight: 61.90,Group: A,1: 115,2: -120,3: 120,Total: 120,62kgMen,Snatch,239
Rank: 5,BARNES Darrel Lamont,USA,"Born: Jan 20, 1994",B.weight: 61.33,Group: A,1: -113,2: -113,3: 115,Total: 115,62kgMen,Snatch,239
Rank: 6,CONSTANTINE Clement,MAS,"Born: Oct 06, 1994",B.weight: 61.67,Group: B,1: 110,2: 115,3: -118,Total: 115,62kgMen,Snatch,239
Rank: 7,BARDALEZ TUISIMA Luis David,PER,"Born: Oct 03, 1995",B.weight: 61.14,Group: A,1: 108,2: 112,3: -115,Total: 112,62kgMen,Snatch,239
Rank: 8,KAO Chan-Hung,TPE,"Born: Oct 03, 1993",B.weight: 61.31,Group: B,1: 105,2: 112,3: -117,Total: 112,62kgMen,Snatch,239
Rank: 9,PRECIADO REYES Miguel Angel,PER,"Born: Nov 03, 1994",B.weight: 61.49,Group: B,1: 105,2: 110,3: -112,Total: 110,62kgMen,Snatch,239
Rank: 10,VAZQUEZ MENDEZ Antonio,MEX,"Born: Aug 12, 1993",B.weight: 61.88,Group: A,1: 110,2: -113,3: -113,Total: 110,62kgMen,Snatch,239
Rank: 11,KIM Daeho,KOR,"Born: Sep 17, 1994",B.weight: 61.90,Group: B,1: 100,2: 105,3: 107,Total: 107,62kgMen,Snatch,239
Rank: 12,KWAPISZ Dominik Maciej,POL,"Born: Feb 24, 1993",B.weight: 61.93,Group: A,1: -106,2: 106,3: -110,Total: 106,62kgMen,Snatch,239
Rank: 13,SHERGILL Jaswant Singh,GBR,"Born: Jan 14, 1993",B.weight: 61.40,Group: B,1: 97,2: 103,3: 105,Total: 105,62kgMen,Snatch,239
Rank: 14,CHIANG Tsung-Han,TPE,"Born: Jul 27, 1996",B.weight: 61.61,Group: B,1: 100,2: 105,3: -112,Total: 105,62kgMen,Snatch,239
Rank: 15,MALAKCI Emre,TUR,"Born: Oct 19, 1993",B.weight: 61.25,Group: B,1: 95,2: 100,3: -103,Total: 100,62kgMen,Snatch,239
Rank: DSQ,HRISTOV Valentin,AZE,"Born: Mar 30, 1994",B.weight: 61.96,Group: A,1: 130,2: 135,3: 138,Total: ---,62kgMen,Snatch,239
