rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
DSQ,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",58.81,B,---,---,---,,62kgMen,Total,3,True
1,SHI Zhiyong,CHN,"Feb 10, 1980",67.98,A,152,157,160,160,69kgMen,Snatch,3,True
2,LEE Baeyoung,KOR,"Dec 10, 1979",68.62,A,-147,147,152,152,69kgMen,Snatch,3,True
3,DABAYA TIENTCHEU Vencelas,FRA,"Apr 28, 1981",68.12,A,140,145,-146,145,69kgMen,Snatch,3,True
4,CASADO Jose,ESP,"Nov 26, 1986",68.48,A,135,140,142,142,69kgMen,Snatch,3,True
5,DEMIREV Demir Manolov,BUL,"Aug 31, 1984",68.52,A,142,-146,-146,142,69kgMen,Snatch,3,True
6,GHAZARYAN Armen,ARM,"Jun 19, 1982",68.63,A,137,-142,142,142,69kgMen,Snatch,3,True
7,MICULESCU Ninel,ROU,"May 15, 1985",67.85,A,-135,135,140,140,69kgMen,Snatch,3,True
8,DANIELYAN Artur,ARM,"Jan 01, 1983",68.74,A,132,-137,137,137,69kgMen,Snatch,3,True
9,FIKRETOV Mehmed,BUL,"Nov 18, 1986",68.09,A,130,135,-138,135,69kgMen,Snatch,3,True
10,CAMPO Milton,COL,"Nov 10, 1984",68.48,B,127,-130,130,130,69kgMen,Snatch,3,True
11,ZUKOWSKI Sebastian,POL,"Mar 20, 1984",68.74,B,123,-127,127,127,69kgMen,Snatch,3,True
12,MOLDODOSOV Kutman,KGZ,"May 06, 1982",68.27,B,120,-125,125,125,69kgMen,Snatch,3,True
13,KADIRBERGENOV Sanjar,TKM,"Apr 22, 1985",68.70,B,-120,122,-128,122,69kgMen,Snatch,3,True
14,KOSHENETZ Evgeny,ISR,"Nov 27, 1973",68.95,B,122,-127,-127,122,69kgMen,Snatch,3,True
15,SPOONER Mark,NZL,"Dec 12, 1984",68.71,B,116,-120,120,120,69kgMen,Snatch,3,True
16,AATAR Abdellatif,MAR,"Jan 26, 1987",67.87,B,95,99,101,101,69kgMen,Snatch,3,True
17,HEALY Wayne,IRL,"May 03, 1976",65.98,B,96,-100,-102,96,69kgMen,Snatch,3,True
1,SHI Zhiyong,CHN,"Feb 10, 1980",67.98,A,180,185,190,190,69kgMen,CleanJerk,3,True
2,LEE Baeyoung,KOR,"Dec 10, 1979",68.62,A,185,-190,-191,185,69kgMen,CleanJerk,3,True
3,DABAYA TIENTCHEU Vencelas,FRA,"Apr 28, 1981",68.12,A,179,-185,-186,179,69kgMen,CleanJerk,3,True
4,GHAZARYAN Armen,ARM,"Jun 19, 1982",68.63,A,-176,176,-181,176,69kgMen,CleanJerk,3,True
5,FIKRETOV Mehmed,BUL,"Nov 18, 1986",68.09,A,170,-175,175,175,69kgMen,CleanJerk,3,True
6,DEMIREV Demir Manolov,BUL,"Aug 31, 1984",68.52,A,175,-178,-178,175,69kgMen,CleanJerk,3,True
7,DANIELYAN Artur,ARM,"Jan 01, 1983",68.74,A,172,-180,-180,172,69kgMen,CleanJerk,3,True
8,ZUKOWSKI Sebastian,POL,"Mar 20, 1984",68.74,B,162,164,167,167,69kgMen,CleanJerk,3,True
9,MICULESCU Ninel,ROU,"May 15, 1985",67.85,A,155,165,-170,165,69kgMen,CleanJerk,3,True
10,CASADO Jose,ESP,"Nov 26, 1986",68.48,A,165,-171,-171,165,69kgMen,CleanJerk,3,True
11,CAMPO Milton,COL,"Nov 10, 1984",68.48,B,155,160,-163,160,69kgMen,CleanJerk,3,True
12,KOSHENETZ Evgeny,ISR,"Nov 27, 1973",68.95,B,150,154,-158,154,69kgMen,CleanJerk,3,True
13,SPOONER Mark,NZL,"Dec 12, 1984",68.71,B,147,152,-158,152,69kgMen,CleanJerk,3,True
14,MOLDODOSOV Kutman,KGZ,"May 06, 1982",68.27,B,145,-150,150,150,69kgMen,CleanJerk,3,True
15,KADIRBERGENOV Sanjar,TKM,"Apr 22, 1985",68.70,B,145,-150,-150,145,69kgMen,CleanJerk,3,True
16,HEALY Wayne,IRL,"May 03, 1976",65.98,B,125,130,-135,130,69kgMen,CleanJerk,3,True
17,AATAR Abdellatif,MAR,"Jan 26, 1987",67.87,B,-125,125,130,130,69kgMen,CleanJerk,3,True
1,SHI Zhiyong,CHN,"Feb 10, 1980",67.98,A,160,190,350.0,,69kgMen,Total,3,True
2,LEE Baeyoung,KOR,"Dec 10, 1979",68.62,A,152,185,337.0,,69kgMen,Total,3,True
3,DABAYA TIENTCHEU Vencelas,FRA,"Apr 28, 1981",68.12,A,145,179,324.0,,69kgMen,Total,3,True
4,GHAZARYAN Armen,ARM,"Jun 19, 1982",68.63,A,142,176,318.0,,69kgMen,Total,3,True
5,DEMIREV Demir Manolov,BUL,"Aug 31, 1984",68.52,A,142,175,317.0,,69kgMen,Total,3,True
6,FIKRETOV Mehmed,BUL,"Nov 18, 1986",68.09,A,135,175,310.0,,69kgMen,Total,3,True
7,DANIELYAN Artur,ARM,"Jan 01, 1983",68.74,A,137,172,309.0,,69kgMen,Total,3,True
8,CASADO Jose,ESP,"Nov 26, 1986",68.48,A,142,165,307.0,,69kgMen,Total,3,True
9,MICULESCU Ninel,ROU,"May 15, 1985",67.85,A,140,165,305.0,,69kgMen,Total,3,True
10,ZUKOWSKI Sebastian,POL,"Mar 20, 1984",68.74,B,127,167,294.0,,69kgMen,Total,3,True
11,CAMPO Milton,COL,"Nov 10, 1984",68.48,B,130,160,290.0,,69kgMen,Total,3,True
12,KOSHENETZ Evgeny,ISR,"Nov 27, 1973",68.95,B,122,154,276.0,,69kgMen,Total,3,True
13,MOLDODOSOV Kutman,KGZ,"May 06, 1982",68.27,B,125,150,275.0,,69kgMen,Total,3,True
14,SPOONER Mark,NZL,"Dec 12, 1984",68.71,B,120,152,272.0,,69kgMen,Total,3,True
15,KADIRBERGENOV Sanjar,TKM,"Apr 22, 1985",68.70,B,122,145,267.0,,69kgMen,Total,3,True
16,AATAR Abdellatif,MAR,"Jan 26, 1987",67.87,B,101,130,231.0,,69kgMen,Total,3,True
17,HEALY Wayne,IRL,"May 03, 1976",65.98,B,96,130,226.0,,69kgMen,Total,3,True
1,LI Hongli,CHN,"Dec 26, 1980",76.81,A,160,165,-170,165,77kgMen,Snatch,3,True
2,DOGARIU Sebastian,ROU,"Sep 10, 1977",76.51,A,155,160,163,163,77kgMen,Snatch,3,True
3,SUFYAN Abbas Nader,QAT,"Dec 12, 1975",76.55,A,155,-160,160,160,77kgMen,Snatch,3,True
4,MARKOV Georgi,BUL,"Mar 12, 1978",76.94,A,155,160,-163,160,77kgMen,Snatch,3,True
5,SZRAMIAK Krzysztof Jakub,POL,"Jul 09, 1984",76.15,A,155,158,-161,158,77kgMen,Snatch,3,True
6,HEREM Ali,IRQ,"Jan 01, 1975",77.00,A,151,156,-161,156,77kgMen,Snatch,3,True
7,PETER Yukio,NRU,"Jan 29, 1984",76.70,A,143,150,155,155,77kgMen,Snatch,3,True
8,HOCH Rene,GER,"Apr 11, 1978",76.64,A,-148,150,153,153,77kgMen,Snatch,3,True
9,GUMAN Viktor,SVK,"Apr 15, 1976",76.92,A,153,-158,-158,153,77kgMen,Snatch,3,True
10,MARTINEZ Sergio,ESP,"Apr 18, 1980",76.09,A,145,-150,152,152,77kgMen,Snatch,3,True
11,RIVERA Santo,DOM,"Oct 10, 1980",75.07,B,136,141,145,145,77kgMen,Snatch,3,True
12,FRYE Lance,USA,"Sep 30, 1984",76.77,B,-140,140,145,145,77kgMen,Snatch,3,True
13,REJEPOV Maksudjan,TKM,"Jan 10, 1981",76.87,B,-145,145,-150,145,77kgMen,Snatch,3,True
14,MIRZAYEV Turan,AZE,"Sep 24, 1979",76.60,B,140,144,-148,144,77kgMen,Snatch,3,True
15,GUTU Andrei,MDA,"Sep 16, 1980",76.50,B,142,-147,-147,142,77kgMen,Snatch,3,True
16,GROSU Ghenadie,MDA,"Aug 10, 1984",75.85,B,-138,-140,140,140,77kgMen,Snatch,3,True
17,BRUCE Matthew Eric,USA,"Jul 11, 1983",76.46,B,133,138,140,140,77kgMen,Snatch,3,True
18,OCANDO Jose Leonardo,VEN,"Mar 17, 1986",76.50,B,132,-138,138,138,77kgMen,Snatch,3,True
19,ANGULO RIVERA Edinson,COL,"Aug 06, 1982",75.54,B,-136,-136,136,136,77kgMen,Snatch,3,True
20,LAZARIDIS Vladimiros,GRE,"Mar 29, 1987",73.90,B,135,-140,-140,135,77kgMen,Snatch,3,True
21,ANTHONY Darryn,RSA,"Dec 18, 1985",76.54,B,135,-140,-140,135,77kgMen,Snatch,3,True
22,JANICEK Miroslav,SVK,"May 13, 1974",75.01,B,126,129,-132,129,77kgMen,Snatch,3,True
23,PATTERSON Richard John Edward,NZL,"Apr 30, 1983",76.53,B,-125,125,-130,125,77kgMen,Snatch,3,True
24,ODONGO Jack,KEN,"Apr 18, 1971",76.13,B,105,110,-115,110,77kgMen,Snatch,3,True
---,AMREYAN Hovannes,ARM,"Oct 03, 1975",76.81,A,-155,-155,-156,---,77kgMen,Snatch,3,True
1,LI Hongli,CHN,"Dec 26, 1980",76.81,A,190,-195,196,196,77kgMen,CleanJerk,3,True
2,PETER Yukio,NRU,"Jan 29, 1984",76.70,A,185,-192,193,193,77kgMen,CleanJerk,3,True
3,HOCH Rene,GER,"Apr 11, 1978",76.64,A,182,187,192,192,77kgMen,CleanJerk,3,True
4,SUFYAN Abbas Nader,QAT,"Dec 12, 1975",76.55,A,191,-196,-201,191,77kgMen,CleanJerk,3,True
5,DOGARIU Sebastian,ROU,"Sep 10, 1977",76.51,A,185,-190,190,190,77kgMen,CleanJerk,3,True
6,MARKOV Georgi,BUL,"Mar 12, 1978",76.94,A,-185,185,-189,185,77kgMen,CleanJerk,3,True
