rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
10,KWANPIKEN Samson,VAN,"Oct 25, 1985",72.45,B,80,85,- 90,85,73kgMen,CleanJerk,464,False
1,WAKELING Brandon Dean,AUS,"Feb 02, 1994",72.70,A,123,167,290,,73kgMen,Total,464,False
2,TABAROUA Taretiita Baraniko,KIR,"Nov 29, 1994",72.95,A,124,158,282,,73kgMen,Total,464,False
3,DOGUAPE Larko,NRU,"Jul 05, 2000",72.45,A,120,150,270,,73kgMen,Total,464,False
4,ALIKLIK Ika,NRU,"Sep 16, 1985",72.35,A,121,146,267,,73kgMen,Total,464,False
5,RALPHO Joshua,MHL,"Dec 26, 2001",72.45,A,105,140,245,,73kgMen,Total,464,False
6,MEA Douglas Ao,PNG,"Jun 10, 1999",72.30,B,97,130,227,,73kgMen,Total,464,False
7,DAVIS Kaia,NIU,"Mar 28, 2004",71.30,B,80,105,185,,73kgMen,Total,464,False
8,WOTLELEN Robinson,VAN,"Sep 05, 1995",72.65,B,73,87,160,,73kgMen,Total,464,False
9,KWANPIKEN Samson,VAN,"Oct 25, 1985",72.45,B,60,85,145,,73kgMen,Total,464,False
---,BAUTISTA David,GUM,"Nov 07, 1989",72.35,A,---,135,---,,73kgMen,Total,464,False
1,HITILA OPELOGE Jack,SAM,"Aug 21, 2000",80.35,A,126,131,138,138,81kgMen,Snatch,464,False
2,MCTAGGART Cameron David,NZL,"Sep 30, 1997",80.75,A,133,137,-141,137,81kgMen,Snatch,464,False
3,BOB Kabuati Silas,MHL,"Oct 19, 1994",80.30,A,120,125,128,128,81kgMen,Snatch,464,False
4,LAPUA Lapua Tuau,TUV,"Apr 15, 1991",79.25,A,116,121,126,126,81kgMen,Snatch,464,False
5,KAITI Titara,KIR,"Feb 05, 1998",80.15,A,120,-125,125,125,81kgMen,Snatch,464,False
6,VEIDREYAKI Patrick Tawake,FIJ,"Nov 05, 1989",79.90,B,110,114,117,117,81kgMen,Snatch,464,False
7,UDIA Toua,PNG,"Dec 07, 1992",81.00,A,-116,116,-121,116,81kgMen,Snatch,464,False
8,DETUDAMO Uea,NRU,"Dec 16, 1999",73.25,B,110,115,-118,115,81kgMen,Snatch,464,False
9,LOHIA Igo,PNG,"Sep 16, 1999",76.50,B,-105,105,111,111,81kgMen,Snatch,464,False
10,MENKE Petrillo,NRU,"Jul 16, 1998",78.10,B,95,-100,100,100,81kgMen,Snatch,464,False
11,SARU Anthony,SOL,"Jul 18, 1994",78.30,B,95,-100,100,100,81kgMen,Snatch,464,False
1,MCTAGGART Cameron David,NZL,"Sep 30, 1997",80.75,A,160,164,168,168,81kgMen,CleanJerk,464,False
2,BOB Kabuati Silas,MHL,"Oct 19, 1994",80.30,A,160,-165,-168,160,81kgMen,CleanJerk,464,False
3,HITILA OPELOGE Jack,SAM,"Aug 21, 2000",80.35,A,-160,-160,160,160,81kgMen,CleanJerk,464,False
4,KAITI Titara,KIR,"Feb 05, 1998",80.15,A,155,-160,-161,155,81kgMen,CleanJerk,464,False
5,LAPUA Lapua Tuau,TUV,"Apr 15, 1991",79.25,A,143,150,153,153,81kgMen,CleanJerk,464,False
6,VEIDREYAKI Patrick Tawake,FIJ,"Nov 05, 1989",79.90,B,145,151,-160,151,81kgMen,CleanJerk,464,False
7,DETUDAMO Uea,NRU,"Dec 16, 1999",73.25,B,137,142,146,146,81kgMen,CleanJerk,464,False
8,MENKE Petrillo,NRU,"Jul 16, 1998",78.10,B,135,140,145,145,81kgMen,CleanJerk,464,False
9,SARU Anthony,SOL,"Jul 18, 1994",78.30,B,125,127,130,130,81kgMen,CleanJerk,464,False
---,UDIA Toua,PNG,"Dec 07, 1992",81.00,A,-151,-151,-151,---,81kgMen,CleanJerk,464,False
---,LOHIA Igo,PNG,"Sep 16, 1999",76.50,B,-135,-135,-135,---,81kgMen,CleanJerk,464,False
1,MCTAGGART Cameron David,NZL,"Sep 30, 1997",80.75,A,137,168,305,,81kgMen,Total,464,False
2,HITILA OPELOGE Jack,SAM,"Aug 21, 2000",80.35,A,138,160,298,,81kgMen,Total,464,False
3,BOB Kabuati Silas,MHL,"Oct 19, 1994",80.30,A,128,160,288,,81kgMen,Total,464,False
4,KAITI Titara,KIR,"Feb 05, 1998",80.15,A,125,155,280,,81kgMen,Total,464,False
5,LAPUA Lapua Tuau,TUV,"Apr 15, 1991",79.25,A,126,153,279,,81kgMen,Total,464,False
6,VEIDREYAKI Patrick Tawake,FIJ,"Nov 05, 1989",79.90,B,117,151,268,,81kgMen,Total,464,False
7,DETUDAMO Uea,NRU,"Dec 16, 1999",73.25,B,115,146,261,,81kgMen,Total,464,False
8,MENKE Petrillo,NRU,"Jul 16, 1998",78.10,B,100,145,245,,81kgMen,Total,464,False
9,SARU Anthony,SOL,"Jul 18, 1994",78.30,B,100,130,230,,81kgMen,Total,464,False
---,UDIA Toua,PNG,"Dec 07, 1992",81.00,A,116,---,---,,81kgMen,Total,464,False
---,LOHIA Igo,PNG,"Sep 16, 1999",76.50,B,111,---,---,,81kgMen,Total,464,False
1,OPELOGE Don,SAM,"May 13, 1999",88.05,A,145,-151,-157,145,89kgMen,Snatch,464,False
2,ELESIN Boris,AUS,"Sep 02, 1995",87.85,A,134,138,142,142,89kgMen,Snatch,464,False
3,GREGSON Joel Stephen,AUS,"Mar 01, 1993",88.15,A,121,126,-131,126,89kgMen,Snatch,464,False
4,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Sep 16, 1999",87.05,A,111,115,120,120,89kgMen,Snatch,464,False
5,COOK Marcincy,NRU,"Apr 16, 2002",89.00,A,-106,106,110,110,89kgMen,Snatch,464,False
6,UMATA Amimiasi Tubuna Abariga,FIJ,"Oct 26, 1993",88.50,A,90,95,102,102,89kgMen,Snatch,464,False
7,SIMOI Sepa,PNG,"Feb 11, 2002",86.95,A,85,91,94,94,89kgMen,Snatch,464,False
1,OPELOGE Don,SAM,"May 13, 1999",88.05,A,-185,185,193,193,89kgMen,CleanJerk,464,False
2,ELESIN Boris,AUS,"Sep 02, 1995",87.85,A,152,163,166,166,89kgMen,CleanJerk,464,False
3,GREGSON Joel Stephen,AUS,"Mar 01, 1993",88.15,A,149,162,-165,162,89kgMen,CleanJerk,464,False
4,UMATA Amimiasi Tubuna Abariga,FIJ,"Oct 26, 1993",88.50,A,134,138,142,142,89kgMen,CleanJerk,464,False
5,COOK Marcincy,NRU,"Apr 16, 2002",89.00,A,133,137,141,141,89kgMen,CleanJerk,464,False
6,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Sep 16, 1999",87.05,A,138,-143,-143,138,89kgMen,CleanJerk,464,False
7,SIMOI Sepa,PNG,"Feb 11, 2002",86.95,A,115,124,130,130,89kgMen,CleanJerk,464,False
1,OPELOGE Don,SAM,"May 13, 1999",88.05,A,145,193,338,,89kgMen,Total,464,False
2,ELESIN Boris,AUS,"Sep 02, 1995",87.85,A,142,166,308,,89kgMen,Total,464,False
3,GREGSON Joel Stephen,AUS,"Mar 01, 1993",88.15,A,126,162,288,,89kgMen,Total,464,False
4,VAKURUIVALU Timothy Victor Tuitoga,FIJ,"Sep 16, 1999",87.05,A,120,138,258,,89kgMen,Total,464,False
5,COOK Marcincy,NRU,"Apr 16, 2002",89.00,A,110,141,251,,89kgMen,Total,464,False
6,UMATA Amimiasi Tubuna Abariga,FIJ,"Oct 26, 1993",88.50,A,102,142,244,,89kgMen,Total,464,False
7,SIMOI Sepa,PNG,"Feb 11, 2002",86.95,A,94,130,224,,89kgMen,Total,464,False
1,KARI Steven Kukuna,PNG,"May 13, 1993",95.21,A,145,152,156,156,96kgMen,Snatch,464,False
2,NANAI LIVI Maeu,SAM,"Jan 29, 1999",92.99,A,-146,146,154,154,96kgMen,Snatch,464,False
3,BARREDO Ridge Nathan Richard,AUS,"Oct 06, 1995",94.78,A,135,139,-144,139,96kgMen,Snatch,464,False
4,BERU Karianako,KIR,"Sep 18, 1998",93.05,A,110,-115,115,115,96kgMen,Snatch,464,False
5,SCOTTY Freedom,NRU,"Oct 21, 1997",94.66,A,100,-110,110,110,96kgMen,Snatch,464,False
1,KARI Steven Kukuna,PNG,"May 13, 1993",95.21,A,198,-210,-210,198,96kgMen,CleanJerk,464,False
2,NANAI LIVI Maeu,SAM,"Jan 29, 1999",92.99,A,-174,174,181,181,96kgMen,CleanJerk,464,False
3,BARREDO Ridge Nathan Richard,AUS,"Oct 06, 1995",94.78,A,175,-182,-182,175,96kgMen,CleanJerk,464,False
4,BERU Karianako,KIR,"Sep 18, 1998",93.05,A,140,145,-152,145,96kgMen,CleanJerk,464,False
5,SCOTTY Freedom,NRU,"Oct 21, 1997",94.66,A,-135,135,140,140,96kgMen,CleanJerk,464,False
1,KARI Steven Kukuna,PNG,"May 13, 1993",95.21,A,156,198,354,,96kgMen,Total,464,False
2,NANAI LIVI Maeu,SAM,"Jan 29, 1999",92.99,A,154,181,335,,96kgMen,Total,464,False
3,BARREDO Ridge Nathan Richard,AUS,"Oct 06, 1995",94.78,A,139,175,314,,96kgMen,Total,464,False
4,BERU Karianako,KIR,"Sep 18, 1998",93.05,A,115,145,260,,96kgMen,Total,464,False
5,SCOTTY Freedom,NRU,"Oct 21, 1997",94.66,A,110,140,250,,96kgMen,Total,464,False
1,OPELOGE Petunu,SAM,"Jun 27, 1994",100.74,A,144,150,---,150,102kgMen,Snatch,464,False
2,KATOATAU David,KIR,"Jul 17, 1984",100.99,A,138,-142,142,142,102kgMen,Snatch,464,False
3,LAUTUSI Petelo,SAM,"Jun 28, 1996",100.55,A,130,140,-143,140,102kgMen,Snatch,464,False
1,KATOATAU David,KIR,"Jul 17, 1984",100.99,A,196,-201,---,196,102kgMen,CleanJerk,464,False
2,LAUTUSI Petelo,SAM,"Jun 28, 1996",100.55,A,160,170,-176,170,102kgMen,CleanJerk,464,False
---,OPELOGE Petunu,SAM,"Jun 27, 1994",100.74,A,-195,-195,-195,---,102kgMen,CleanJerk,464,False
1,KATOATAU David,KIR,"Jul 17, 1984",100.99,A,142,196,338,,102kgMen,Total,464,False
2,LAUTUSI Petelo,SAM,"Jun 28, 1996",100.55,A,140,170,310,,102kgMen,Total,464,False
---,OPELOGE Petunu,SAM,"Jun 27, 1994",100.74,A,150,---,---,,102kgMen,Total,464,False
1,MAO Sanele,SAM,"Sep 09, 1985",106.23,A,-150,150,160,160,109kgMen,Snatch,464,False
2,LYDEMENT Matthew Ryan,AUS,"Jan 15, 1994",107.31,A,151,156,-161,156,109kgMen,Snatch,464,False
