rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,SELEMAIA Olivia Shalom,NZL,"Feb 26, 2006",66.20,A,85,106,191,---,71kgWomen,Total,543,False
2,DUNCAN Rachel,NZL,"Mar 29, 2003",70.00,A,84,107,191,---,71kgWomen,Total,543,False
3,ABOUKE Nancy Genzel,NRU,"Jul 05, 2003",69.30,A,85,105,190,---,71kgWomen,Total,543,False
4,SEBUITA Talemaiwasa,FIJ,"May 02, 2004",69.85,A,70,85,155,---,71kgWomen,Total,543,False
5,CRIGHTON Briseis Tokorua Nootuatau Joyce,COK,"Jan 01, 2007",66.40,A,51,70,121,---,71kgWomen,Total,543,False
1,UEPA Maximina,NRU,"Sep 22, 2002",73.45,A,-95,-95,95,95,76kgWomen,Snatch,543,False
2,ROY Alyssa Jane,NZL,"Mar 26, 2002",73.50,A,-82,-82,82,82,76kgWomen,Snatch,543,False
3,OPELOGE Avatu,SAM,"Nov 29, 2003",73.00,A,-78,-78,78,78,76kgWomen,Snatch,543,False
1,UEPA Maximina,NRU,"Sep 22, 2002",73.45,A,-120,-120,120,120,76kgWomen,CleanJerk,543,False
2,ROY Alyssa Jane,NZL,"Mar 26, 2002",73.50,A,-98,-98,98,98,76kgWomen,CleanJerk,543,False
3,OPELOGE Avatu,SAM,"Nov 29, 2003",73.00,A,-96,-96,96,96,76kgWomen,CleanJerk,543,False
1,UEPA Maximina,NRU,"Sep 22, 2002",73.45,A,95,120,215,---,76kgWomen,Total,543,False
2,ROY Alyssa Jane,NZL,"Mar 26, 2002",73.50,A,82,98,180,---,76kgWomen,Total,543,False
3,OPELOGE Avatu,SAM,"Nov 29, 2003",73.00,A,78,96,174,---,76kgWomen,Total,543,False
1,JONES Medea Elyse,NZL,"Feb 18, 2003",79.80,A,-84,-84,84,84,81kgWomen,Snatch,543,False
2,DOMONATANI Leyna-May T.R.,FIJ,"Jan 01, 2005",78.80,A,-45,-45,45,45,81kgWomen,Snatch,543,False
1,JONES Medea Elyse,NZL,"Feb 18, 2003",79.80,A,-95,-95,95,95,81kgWomen,CleanJerk,543,False
2,DOMONATANI Leyna-May T.R.,FIJ,"Jan 01, 2005",78.80,A,-70,-70,70,70,81kgWomen,CleanJerk,543,False
1,JONES Medea Elyse,NZL,"Feb 18, 2003",79.80,A,84,95,179,---,81kgWomen,Total,543,False
2,DOMONATANI Leyna-May T.R.,FIJ,"Jan 01, 2005",78.80,A,45,70,115,---,81kgWomen,Total,543,False
1,OPELOGE Faustina,SAM,"Jan 01, 2004",85.60,A,-84,-84,84,84,87kgWomen,Snatch,543,False
2,PRITCHARD-LOLO Ajah,VAN,"Aug 10, 2002",85.50,A,-79,-79,79,79,87kgWomen,Snatch,543,False
1,OPELOGE Faustina,SAM,"Jan 01, 2004",85.60,A,-106,-106,106,106,87kgWomen,CleanJerk,543,False
2,PRITCHARD-LOLO Ajah,VAN,"Aug 10, 2002",85.50,A,-90,-90,90,90,87kgWomen,CleanJerk,543,False
1,OPELOGE Faustina,SAM,"Jan 01, 2004",85.60,A,84,106,190,---,87kgWomen,Total,543,False
2,PRITCHARD-LOLO Ajah,VAN,"Aug 10, 2002",85.50,A,79,90,169,---,87kgWomen,Total,543,False
1,SUMMERELL Miniah Willow,NZL,"Oct 13, 2003",114.60,A,-83,-83,83,83,+87kgWomen,Snatch,543,False
2,SEIPUA Helen Anastasia,FIJ,"Jul 21, 2002",111.50,A,-82,-82,82,82,+87kgWomen,Snatch,543,False
3,PELENATO Imoasina,SAM,"Apr 15, 2006",111.70,A,-76,-76,76,76,+87kgWomen,Snatch,543,False
1,PELENATO Imoasina,SAM,"Apr 15, 2006",111.70,A,-106,-106,106,106,+87kgWomen,CleanJerk,543,False
2,SUMMERELL Miniah Willow,NZL,"Oct 13, 2003",114.60,A,-105,-105,105,105,+87kgWomen,CleanJerk,543,False
2,SEIPUA Helen Anastasia,FIJ,"Jul 21, 2002",111.50,A,-105,-105,105,105,+87kgWomen,CleanJerk,543,False
1,SUMMERELL Miniah Willow,NZL,"Oct 13, 2003",114.60,A,83,105,188,---,+87kgWomen,Total,543,False
2,SEIPUA Helen Anastasia,FIJ,"Jul 21, 2002",111.50,A,82,105,187,---,+87kgWomen,Total,543,False
3,PELENATO Imoasina,SAM,"Apr 15, 2006",111.70,A,76,106,182,---,+87kgWomen,Total,543,False
