rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
2,YANG Zhe,CHN,"Jul 14, 1991",104.36,A,211,-216,216,216,105kgMen,CleanJerk,142,True
3,ISTOMIN Sergey,KAZ,"Jan 24, 1986",104.36,A,-210,210,215,215,105kgMen,CleanJerk,142,True
4,MAJIDI Hamed,IRI,"Mar 21, 1988",104.32,A,200,210,-215,210,105kgMen,CleanJerk,142,True
5,NUCHPUM Khunchai,THA,"Oct 20, 1980",97.86,A,190,195,200,200,105kgMen,CleanJerk,142,True
6,DADVAND Yaser,IRI,"Jan 01, 1990",103.06,A,200,-210,-210,200,105kgMen,CleanJerk,142,True
7,SHIRAISHI Hiroaki,JPN,"Oct 24, 1989",101.54,A,-190,190,197,197,105kgMen,CleanJerk,142,True
8,ASAAD Kasem,SYR,"May 25, 1988",104.16,A,-191,191,196,196,105kgMen,CleanJerk,142,True
9,KOPYTOV Stanislav,KAZ,"Jan 19, 1988",101.90,A,195,-201,-201,195,105kgMen,CleanJerk,142,True
1,YANG Zhe,CHN,"Jul 14, 1991",104.36,A,187,216,403,,105kgMen,Total,142,True
2,JUGHELI Ahed,SYR,"Oct 10, 1982",104.36,A,180,217,397,,105kgMen,Total,142,True
3,ISTOMIN Sergey,KAZ,"Jan 24, 1986",104.36,A,181,215,396,,105kgMen,Total,142,True
4,MAJIDI Hamed,IRI,"Mar 21, 1988",104.32,A,171,210,381,,105kgMen,Total,142,True
5,KOPYTOV Stanislav,KAZ,"Jan 19, 1988",101.90,A,170,195,365,,105kgMen,Total,142,True
6,DADVAND Yaser,IRI,"Jan 01, 1990",103.06,A,165,200,365,,105kgMen,Total,142,True
7,ASAAD Kasem,SYR,"May 25, 1988",104.16,A,162,196,358,,105kgMen,Total,142,True
8,NUCHPUM Khunchai,THA,"Oct 20, 1980",97.86,A,150,200,350,,105kgMen,Total,142,True
---,SHIRAISHI Hiroaki,JPN,"Oct 24, 1989",101.54,A,---,197,---,,105kgMen,Total,142,True
1,SALIMIKORDASIABI Behdad,IRI,"Dec 08, 1989",165.00,A,200,205,208,208,+105kgMen,Snatch,142,True
2,SUN Hai Bo,CHN,"Mar 25, 1983",146.00,A,195,200,-203,200,+105kgMen,Snatch,142,True
3,OTA Kazuomi,JPN,"Jul 01, 1986",145.90,A,-175,175,180,180,+105kgMen,Snatch,142,True
4,MOULAEI Bahador,IRI,"Mar 21, 1992",119.40,A,165,171,176,176,+105kgMen,Snatch,142,True
5,ALI Mhd,SYR,"Oct 03, 1982",116.80,A,160,167,171,171,+105kgMen,Snatch,142,True
